type,npc_id,name_id,phys_n,phys_b,phys_s,phys_t,mag,fire,thunder,holy,poise,blood,poison,rot,frost,name_en
45511,21000020,902100600,0.9,0.9,0.9,0.65,0.8,0.8,0.8,0.6,80,999,999,999,154,Black Knife Assassin (Field Boss)
45512,42900040,912000060,0.9,0.9,0.9,1,1,1,1.2,1,65,154,154,154,154,Bloodhound Knight (Field Boss) (Tier 1)
45513,34000941,903400301,1,1,1.1,1,1,1,1,1,65,84,112,112,112,Frenzied Grave Warden Duelist (Field Boss) (Tier 1)
45514,13100010,904978000,0.8,0.85,0.78,0.8,0.8,0.78,0.84000003,1.22,80,252,999,999,999,Outrider Knight (Field Boss) (Tier 1)
46511,by-name:31810000,903181300,1,1,1.1,1,0.6,0.8,0.8,0.8,120,252,154,154,252,Red Wolf of Radagon
46512,by-name:44800000,904480311,1,0.65,1.4,1,1,1.4,0.6,0.6,100,252,542,252,63,Miranda Blossom
46513,by-name:44800000,904480311,1,0.65,1.4,1,1,1.4,0.6,0.6,100,252,542,252,63,Miranda Blossom
46514,by-name:44800000,904480311,1,0.65,1.4,1,1,1.4,0.6,0.6,100,252,542,252,63,Miranda Blossom
46515,by-name:44800000,904480311,1,0.65,1.4,1,1,1.4,0.6,0.6,100,252,542,252,63,Miranda Blossom
46516,by-name:41300000,904130700,1,1,1.1,1,1,1.2,1,1,80,112,84,84,112,Demi-Human Queen
46521,32500090,903250600,0.9,0.9,0.65,0.9,0.8,0.6,0.6,0.8,80,252,154,154,252,Draconic Tree Sentinel (Field Boss)
46522,46400960,904640100,1,1,1,1,0.8,1.2,0.8,0.6,120,252,542,542,112,Putrid Tree Spirit (Field Boss) (Tier 4)
46523,48110020,904811000,0.9,1,0.9,0.9,0.8,2,0.8,0.6,120,999,999,999,154,Putrid Erdtree Avatar (Field Boss) (Tier 4)
46524,32520010,903253500,0.9,0.9,0.9,0.9,0.6,0.6,1,0.8,80,252,154,154,252,Royal Carian Knight (Field Boss)
46531,32510020,903251600,0.9,0.9,0.65,0.9,0.8,0.6,1,0.6,80,252,154,154,252,Tree Sentinel (Field Boss)
46532,25001050,902500300,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight Siluria (Field Boss) (Tier 3)
46533,25000050,902500300,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight Ordovis (Field Boss) (Tier 3)
46534,58000050,902500300,0.65,0.65,0.65,0.65,0.6,0.8,0.8,0.6,80,999,252,252,252,Crucible Knight Devonia (Field Boss) (Tier 3)
46541,45101120,904510601,0.65,0.65,0.65,0.9,0.6,0.6,0.2,0.6,120,252,252,252,252,Ancient Dragon (Field Boss) (Tier 4)
46542,45030040,904503600,0.65,0.9,0.4,0.4,0.6,0.6,0.6,0.6,120,252,252,252,542,Borealis (Field Boss) (Tier 4)
46543,45010020,904501600,1.4,1.4,1.4,1.1,1.4,2,1.4,1.4,120,112,542,542,112,Decaying Ekzykes (Field Boss) (Tier 4)
46544,46500070,904650600,0.9,0.9,1,0.9,0.8,0.8,0.6,0.8,120,252,999,252,542,Dragonkin Soldier (Ice Lightning) (Field Boss) (Tier 4)
46551,34600020,903460500,0.9,0.9,1,0.9,0.8,1,0.8,0.8,80,154,154,154,154,Leonine Misbegotten (Field Boss)
46552,42601640,904260307,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Staff) (Field Boss) (Tier 1)
46553,42600150,904260307,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Fire) (Field Boss) (Tier 1)
46554,42600160,904260307,0.65,0.9,0.65,0.65,0.6,0.6,0.6,0.6,80,999,999,999,999,Erdtree Burial Watchdog (Lightning) (Field Boss) (Tier 1)
46561,31000010,903100600,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Bell Bearing Hunter (Field Boss)
46562,47701050,904770000,0.9,1,0.65,0.65,0.8,0.6,0.6,0.6,95,999,999,999,999,Valiant Gargoyle (Field Boss) (Tier 3)
46563,30500020,903050500,0.9,0.9,0.65,1,0.8,0.8,0.8,0.8,90,154,154,154,154,Outland Commander (Field Boss) (Tier 3)
46571,50110010,905011000,1,1,1.1,1,1,1.2,1.2,1,80,252,154,154,252,Golden Hippopotamus (Field Boss)
46572,46010080,904601000,1,1,1.1,1,0.8,1,1,1,65,112,112,112,154,Carian Troll Knight (Field Boss) (Tier 1)
46573,31501010,903150600,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Night's Cavalry
46581,45000010,904500600,0.65,0.65,0.65,0.9,0.6,0.6,0.6,0.6,120,252,252,252,252,Flying Dragon (Field Boss)
46582,58600100,905860000,0.65,0.9,0.55,0.6,0.4,0.6,0.6,1.1,120,999,999,252,999,Ghostflame Dragon (Field Boss) (Tier 3)
46583,49100190,904910320,0.9,0.9,0.65,0.9,0.6,0.2,0.6,0.6,120,252,252,252,542,Magma Wyrm (Field Boss)
46584,45020930,904502600,0.65,0.65,0.65,0.9,0.4,0.6,0.6,0.6,120,252,252,252,252,Glintstone Dragon Smarag (Field Boss) (Tier 3)
46591,by-name:42700000,904270600,1,1,1.1,1,1,1.2,1,1,80,252,154,154,252,Elder Lion
46592,by-name:44700000,904470003,0.9,1,0.9,0.9,1,0.8,1.2,0.8,80,999,999,999,999,Abductor Virgin
46593,by-name:45700000,904580600,1,1,1.1,1,1,1,1,0.6,65,154,154,154,154,Wormface
46621,by-name:43510000,904311001,0.9,0.9,0.65,1,0.8,0.8,1,0.8,65,154,112,112,154,Lordsworn Captain
46622,by-name:43520000,904311002,0.9,0.9,0.65,1,0.6,0.8,1,0.8,65,154,112,112,154,Cuckoo Knight
46623,by-name:43530000,904311003,0.9,0.9,0.65,1,0.8,0.8,0.6,0.8,65,154,112,112,154,Leyndell Knight
46624,by-name:43540000,904311004,0.9,0.9,0.65,1,0.8,0.6,1,0.8,65,154,112,112,154,Redmane Knight
46625,by-name:43550000,904311006,0.9,0.9,0.65,1,0.8,0.8,1,1,65,999,999,999,999,Mausoleum Knight
46626,by-name:43560020,904311005,0.9,0.9,0.65,1,0.8,1,1,0.6,65,154,112,112,154,Haligtree Knight (Fort)
46627,by-name:31500000,903700302,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Night's Cavalry
46628,by-name:31500000,903550542,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Night's Cavalry
46631,by-name:46400000,904640000,1,1,1,1,0.8,1.2,0.8,0.6,120,252,252,252,112,Ulcerated Tree Spirit
46632,by-name:46300152,904630320,1,1,1.1,1,1,1.2,1,1,80,252,154,154,252,White Runebear
46633,by-name:31500000,903150610,0.65,0.65,0.65,0.9,0.6,0.6,0.8,0.6,80,252,154,154,252,Night's Cavalry
46641,46700010,904670000,1,1,1.1,1,0.8,1.2,1,1.2,120,542,542,542,542,Ancestor Spirit (Field Boss)
46642,52503035,905250600,0.6,0.6,0.6,1,0.8,0.8,0.8,1,80,112,112,112,112,Divine Beast Warrior Lightning Field Boss (Tier 3)
46643,52503055,905250600,0.6,0.6,0.6,1,0.8,0.8,0.8,1,80,112,112,112,112,Divine Beast Warrior Wind Field Boss (Tier 3)
46644,52503045,905250600,0.6,0.6,0.6,1,0.8,0.8,0.8,1,80,112,112,112,112,Divine Beast Warrior Ice Field Boss (Tier 4)
46651,71000010,907100300,0.9,0.9,0.9,1,1,1.2,1.2,1,80,252,154,154,542,Ancient Hero (Field Boss)
46652,38000020,903800600,0.9,0.9,0.65,1,0.8,1.2,1,0.6,65,154,252,252,154,Cleanrot Knight (Field Boss) (Tier 1)
46653,43401950,904580620,1,0.9,1.1,1,1,1,1.2,1,65,84,112,112,84,Skeletal Gladiator (Field Boss) (Tier 1)
46661,47701210,904770001,0.9,1,0.65,0.65,0.8,0.6,0.6,0.2,110,999,999,999,999,Black Blade Kindred (Field Boss)
46662,58200100,905820600,1,1,1.1,1,1,1.2,1,1,120,252,154,154,252,Great Red Bear (Field Boss) (Tier 4)
46663,52100090,905210600,0.7,0.7,0.8,1,0.6,1,0.6,0.6,120,112,154,112,252,Divine Beast Dancing Lion (Field Boss) (Tier 4)
46671,48100010,904810600,0.9,1,0.9,0.9,0.8,1.4,0.8,0.6,120,999,154,154,112,Erdtree Avatar (Field Boss)
46672,12600020,904130730,0.98,0.95,0.99,0.98,1.02,1.07,1.02,1.02,65,112,112,112,112,Slashy (Field Boss) (Tier 3)
46673,12601020,904130720,0.98,0.95,0.99,0.98,1.02,1.07,1.02,1.02,65,112,112,112,112,Bashy (Field Boss) (Tier 3)
