ID,MAP,type,coord_index
0,0,38100,126
1,0,30301,110
2,0,30300,103
3,0,38101,107
4,0,32102,112
5,0,32201,120
6,0,32101,116
7,0,34101,101
8,0,34300,111
9,0,34103,106
10,0,34101,104
11,0,43410,358
12,0,41000,302
13,0,41000,313
14,0,41000,300
15,0,45000,312
16,0,40008,305
17,0,43400,314
18,0,40101,301
19,0,46912,757
20,0,46643,756
21,0,49422,190
22,0,46743,761
23,0,46633,763
24,0,46562,755
25,0,46544,758
26,0,46627,754
27,0,46593,760
28,0,46722,762
29,0,46551,750
30,0,46571,759
31,0,46515,753
32,0,46050,620
33,0,46010,633
34,0,46000,655
35,0,46060,628
36,0,46030,637
37,0,46040,660
38,0,46020,658
39,0,46010,651
40,0,46030,659
41,0,46030,644
42,0,46000,645
43,0,46010,662
44,0,46040,616
45,0,46030,617
46,0,46050,643
47,0,46000,653
48,0,46030,654
49,0,46040,621
50,0,46030,627
51,0,46050,646
52,0,46030,632
53,0,46020,641
54,0,46020,661
55,0,46010,622
56,0,46040,650
57,0,46000,619
58,0,46010,648
59,0,46000,647
60,0,46000,618
61,0,46000,634
62,0,46010,638
63,0,46060,652
64,0,46010,623
65,0,46060,630
66,0,46020,640
67,0,46040,642
68,0,46060,639
69,0,46060,656
70,0,46060,631
71,0,46060,625
72,0,46050,657
73,0,46020,649
74,0,46060,635
75,0,46040,624
76,0,46050,629
77,0,46050,626
78,0,46050,615
79,0,46040,636
80,0,46605,602
81,0,46503,604
82,0,46703,606
83,0,46504,601
84,0,46604,605
85,0,46701,607
86,0,46606,603
87,0,38101,117
88,0,34101,109
89,0,34103,113
90,0,34103,100
91,0,34101,114
92,0,45000,306
93,0,40102,310
94,0,43000,307
95,1,38101,124
96,1,30301,113
97,1,30000,106
98,1,38100,100
99,1,32000,111
100,1,32100,103
101,1,32200,108
102,1,34002,116
103,1,34200,110
104,1,34100,107
105,1,34100,104
106,1,45010,356
107,1,41000,314
108,1,41000,305
109,1,41000,310
110,1,45000,312
111,1,40009,308
112,1,43400,300
113,1,43501,313
114,1,46863,757
115,1,46531,756
116,1,49434,190
117,1,46683,763
118,1,46741,750
119,1,46663,753
120,1,46633,761
121,1,46591,762
122,1,46651,758
123,1,46572,755
124,1,46553,760
125,1,46712,754
126,1,46692,759
127,1,46604,605
128,1,46505,604
129,1,46503,606
130,1,46704,601
131,1,46602,607
132,1,46700,602
133,1,46605,603
134,1,49400,712
135,1,30301,109
136,1,32100,101
137,1,32000,114
138,1,32200,117
139,1,34200,112
140,1,40103,302
141,1,40101,307
142,1,43501,301
143,2,38000,122
144,2,30301,113
145,2,30001,117
146,2,38101,101
147,2,32100,111
148,2,32001,120
149,2,32101,104
150,2,34102,108
151,2,34200,110
152,2,34103,103
153,2,34200,116
154,2,43010,351
155,2,41000,307
156,2,41000,314
157,2,41000,310
158,2,45000,306
159,2,40004,305
160,2,40102,312
161,2,43401,308
162,2,46882,757
163,2,46644,756
164,2,49412,190
165,2,46582,754
166,2,46631,763
167,2,46681,755
168,2,46524,760
169,2,46772,759
170,2,46553,753
171,2,46722,750
172,2,46653,762
173,2,46713,761
