ID,NightLord,Special,Name,Start_190,Treasure_800,Event_30*0,EventFlag,EvPat_30**,EvPatFlag,RotRew_500,Day1Loc,Day2Loc,Day1Boss,Day2Boss,extra1,extra2,ExtraLots
0,0,0,[Gladius] Standard,705,8005,3030,7724,3600,1150,0,1001,1011,4958,4973,-1,-1,0:10 0:180 300:1102 310:1105 360:1304 99999:7535
1,0,0,[Gladius] Standard,703,8001,0,0,0,0,0,1001,1011,4960,4966,-1,-1,0:10 300:1102 310:1105 360:1304 3700:1100 99999:7535
2,0,0,[Gladius] Standard,701,8002,0,0,0,0,0,1002,1003,4961,4966,-1,-1,0:10 300:1102 310:1105 360:1304 99999:7535
3,0,0,[Gladius] Standard,708,8005,0,0,0,0,0,1000,1010,4810,4962,-1,-1,0:10 300:1102 310:1105 360:1304 99999:7535
4,0,0,[Gladius] Standard,704,8000,3030,7724,3600,1150,0,1008,1003,4952,4954,-1,-1,0:10 0:180 300:1102 310:1105 360:1304 99999:7535
5,0,0,[Gladius] Standard,705,8005,3030,7704,3600,1150,0,1011,1006,4953,4880,-1,-1,0:10 0:180 300:1102 310:1105 360:1304 99999:7535
6,0,0,[Gladius] Standard,703,8010,0,0,0,0,0,1007,1002,4972,4964,-1,-1,0:10 300:1102 310:1105 350:1104 360:1303 99999:7535
7,0,0,[Gladius] Standard,707,8009,0,0,0,0,0,1010,1004,4930,4820,-1,-1,0:10 300:1102 310:1105 360:1304 99999:7535
8,0,0,[Gladius] Standard,700,8008,3030,7724,3600,1150,0,1009,1006,4958,4973,-1,-1,0:10 0:180 300:1101 310:1106 320:9000 360:1304 99999:7535
9,0,0,[Gladius] Standard,705,8009,0,0,0,0,0,1011,1001,4976,4957,-1,-1,0:10 300:1101 310:1106 320:9000 360:1304 99999:7535
10,0,0,[Gladius] Standard,700,8003,3030,7724,3600,1150,0,1002,1007,4910,5210,-1,-1,0:10 0:180 300:1102 310:1106 360:1304 99999:7535
