ID,name,areaNo,gridXNo,gridZNo,posX,posZ
100,Major Base - Gatefront,60,42,37,108,50
101,Major Base - Groveside,60,42,37,45,-107
103,Major Base - Northwest Stormhill,60,42,39,-30,-45
104,Major Base - South Lake,60,43,36,-29,-49
106,Major Base - Alexander Spot,60,43,39,0,-77
107,Major Base - Northeast Stormhill,60,43,39,-24,111
108,Major Base - Waypoint Ruins,60,44,36,45,98
109,Major Base - West Mistwood,60,44,37,75,-9
110,Major Base - Artist's Shack,60,44,38,2,-13
111,Major Base - Northwest Mistwood,60,44,38,126,-70
112,Major Base - Summonwater Approach,60,44,39,73,-64
113,Major Base - South Mistwood,60,45,36,-5,20
114,Major Base - Minor Erdtree,60,45,37,4,-68
116,Major Base - Northeast Mistwood,60,45,38,39,-9
117,Major Base - Summonwater,60,45,39,-56,54
118,,60,43,38,-128,92
119,,60,43,39,0,-77
120,Major Base - Stormhill North of Gate,60,42,38,53,-44
121,Starter Major Base - Groveside,60,42,37,45,-107
122,Starter Major Base - Gatefront,60,42,37,108,50
123,Starter Major Base - Stormhill North of Gate,60,42,38,53,-44
124,Starter Major Base - Stormhill North of Gate Alt,60,42,38,53,-44
125,Starter Major Base - Waypoint Ruins,60,44,36,45,98
126,Starter Major Base - Waypoint Ruins Alt,60,44,36,45,98
127,Starter Major Base - Summonwater Approach,60,44,39,73,-64
128,Starter Major Base - Minor Erdtree,60,45,37,4,-68
129,Starter Major Base - Northwest Mistwood,60,44,38,126,-70
190,Castle - Castle,60,43,37,89.7,62.66
300,Minor Base - Far Southwest,60,42,36,-74,62
301,Minor Base - Stormhill South of Gate,60,42,37,-66,44
302,Minor Base - West of Warmaster's Shack,60,42,38,-48,98.46
305,Minor Base - Lake,60,43,36,57,85
306,Minor Base - Above Stormhill Tunnel Entrance,60,43,38,-86,32
307,Minor Base - Southeast of Lake,60,44,36,-22,-72
308,Minor Base - East of Cavalry Bridge,60,44,37,-52,-76
309,Rotted Woods - Center West,60,44,37,34.33,-58.97
310,Minor Base - Northeast of Saintsbridge,60,44,39,-72,44
312,Minor Base - Minor Erdtree,60,45,37,86,4
313,Minor Base - Third Church,60,45,38,44,97
314,Minor Base - Below Summonwater Hawk,60,45,38,-86,81
315,Rotted Woods - Southwest,60,44,36,99.06,12.58
316,Rotted Woods - Northwest,60,44,37,72.97,39.88
317,Rotted Woods - Far Northwest,60,44,37,-13.58,28.39
318,Rotted Woods - Center East,60,45,37,-40.77,-83.51
319,Rotted Woods - Far Northeast,60,45,37,49.5,46.28
320,Rotted Woods - Northeast,60,45,37,25.51,-25.69
321,Minor Base - Rotted Church,60,45,37,-112.99,-33.61
322,Rotted Woods - Southeast,60,45,36,53.98,92.46
350,Starter Minor Base - Far Southwest,60,42,36,-74,62
351,Starter Minor Base - Stormhill South of Gate,60,42,37,-66,44
352,Starter Minor Base - West of Warmaster's Shack,60,42,38,-48,98.46
